guest_id,first_name,last_name,email,country,age_group,primary_brand,total_bookings,loyalty_tier,_fivetran_synced
G0000977,Patricia,Kelly,tracy72@example.org,USA,65+,Norwegian,2,None,2026-04-05T21:18:38.071284
G0011150,William,Sanders,fostermartin@example.com,USA,65+,Norwegian,3,Latitudes,2026-04-05T21:18:38.072507
G0012404,Deborah,Pratt,sjohnson@example.net,Australia,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.073672
G0012456,Joshua,Walker,iyu@example.com,Other,35-44,Oceania,3,Platinum,2026-04-05T21:18:38.074841
G0018251,Theodore,Mendoza,snowmichael@example.org,USA,45-54,Norwegian,3,Latitudes,2026-04-05T21:18:38.076011
G0006968,Katie,Vaughn,yharris@example.com,Germany,45-54,Norwegian,2,Ambassador,2026-04-05T21:18:38.077159
G0011862,Dominic,Wheeler,marshjeffrey@example.com,USA,45-54,Norwegian,6,Platinum,2026-04-05T21:18:38.078362
G0015338,Sean,Garcia,donaldbennett@example.com,USA,65+,Norwegian,4,Latitudes,2026-04-05T21:18:38.079550
G0008631,Austin,Carroll,lisakhan@example.org,Other,45-54,Norwegian,1,Latitudes,2026-04-05T21:18:38.080717
G0000639,Elizabeth,Harris,jerome19@example.org,France,55-64,Norwegian,2,None,2026-04-05T21:18:38.081859
G0004208,Lindsay,Reeves,gordonbarry@example.net,USA,55-64,Norwegian,4,Latitudes,2026-04-05T21:18:38.083017
G0016960,Stephanie,Tran,shanerojas@example.org,USA,65+,Norwegian,2,None,2026-04-05T21:18:38.084200
G0010828,Michael,Lambert,hermanandrew@example.org,USA,25-34,Norwegian,3,None,2026-04-05T21:18:38.085376
G0011610,Tracey,Small,xdoyle@example.net,Canada,55-64,Norwegian,2,Gold,2026-04-05T21:18:38.086508
G0009128,Robert,Reynolds,burchsamuel@example.net,USA,45-54,Oceania,3,None,2026-04-05T21:18:38.087692
G0007005,Sergio,Espinoza,jamie75@example.com,USA,55-64,Regent,5,Latitudes,2026-04-05T21:18:38.088850
G0015948,Melissa,Rodriguez,blevinsbrian@example.org,UK,65+,Norwegian,3,None,2026-04-05T21:18:38.090021
G0016641,Nancy,Ruiz,grios@example.net,USA,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.091182
G0018522,Sean,Wood,ajohnson@example.org,Germany,45-54,Norwegian,7,Platinum,2026-04-05T21:18:38.092344
G0018449,Kimberly,Munoz,lutzxavier@example.net,USA,65+,Oceania,8,None,2026-04-05T21:18:38.093528
G0017333,Morgan,Armstrong,gallaghereduardo@example.com,Australia,35-44,Norwegian,1,None,2026-04-05T21:18:38.094722
G0008651,Miguel,Johnson,iramirez@example.net,USA,45-54,Oceania,1,Platinum,2026-04-05T21:18:38.095865
G0014479,Michelle,Ortiz,amber58@example.org,UK,55-64,Oceania,3,None,2026-04-05T21:18:38.096993
G0001308,Jacqueline,Ballard,mosborn@example.net,USA,55-64,Norwegian,3,None,2026-04-05T21:18:38.098146
G0000813,Jonathan,Kennedy,robin58@example.net,USA,65+,Oceania,3,None,2026-04-05T21:18:38.099282
G0015084,Andrew,Howard,hking@example.net,Other,45-54,Norwegian,7,Latitudes,2026-04-05T21:18:38.100418
G0010852,Hannah,Pace,vanderson@example.org,USA,35-44,Norwegian,3,None,2026-04-05T21:18:38.101581
G0003790,Ricky,Marquez,ycamacho@example.com,USA,65+,Norwegian,2,None,2026-04-05T21:18:38.102815
G0010287,Stephen,Snyder,rmayo@example.net,UK,25-34,Norwegian,1,Gold,2026-04-05T21:18:38.104161
G0005703,Cynthia,Hoover,bschroeder@example.org,USA,55-64,Norwegian,5,Gold,2026-04-05T21:18:38.105533
G0016751,Todd,Ellison,amandamahoney@example.org,USA,45-54,Norwegian,4,None,2026-04-05T21:18:38.106765
G0015570,Emily,Heath,jwolf@example.org,USA,55-64,Norwegian,4,Gold,2026-04-05T21:18:38.107945
G0003493,Edward,Walker,georgeshort@example.org,Canada,65+,Norwegian,3,Gold,2026-04-05T21:18:38.109138
G0018315,Katherine,Lee,sotoanthony@example.com,USA,65+,Norwegian,2,Gold,2026-04-05T21:18:38.110335
G0017082,Lori,Ramsey,michael27@example.com,USA,45-54,Oceania,3,None,2026-04-05T21:18:38.111480
G0005008,Meredith,Nielsen,tharmon@example.net,France,55-64,Norwegian,2,None,2026-04-05T21:18:38.112648
G0012465,Mark,Mitchell,timothybruce@example.org,Canada,55-64,Norwegian,2,None,2026-04-05T21:18:38.113849
G0013249,Mallory,Martinez,torresjames@example.com,Other,25-34,Norwegian,2,None,2026-04-05T21:18:38.115021
G0001648,Bryan,Flores,vargaschristine@example.org,UK,45-54,Norwegian,4,None,2026-04-05T21:18:38.116203
G0007348,Joanne,Williams,daniel10@example.com,USA,45-54,Norwegian,3,None,2026-04-05T21:18:38.117363
G0008397,Heather,James,sarahrodriguez@example.com,USA,35-44,Norwegian,2,Platinum,2026-04-05T21:18:38.118540
G0012998,Shannon,George,heidimullen@example.com,USA,45-54,Regent,1,None,2026-04-05T21:18:38.119721
G0012143,Ann,Clark,antonio03@example.net,UK,35-44,Oceania,3,None,2026-04-05T21:18:38.120869
G0008851,Janet,Miller,angela48@example.net,USA,45-54,Norwegian,3,None,2026-04-05T21:18:38.122013
G0012419,Pamela,Roman,igreen@example.com,USA,45-54,Norwegian,2,None,2026-04-05T21:18:38.123172
G0007909,Michelle,Jones,david63@example.org,USA,35-44,Norwegian,1,Latitudes,2026-04-05T21:18:38.124324
G0012093,Paula,Johnson,susancook@example.com,UK,65+,Norwegian,3,Latitudes,2026-04-05T21:18:38.125516
G0006067,Desiree,Hinton,khughes@example.org,USA,45-54,Norwegian,5,Ambassador,2026-04-05T21:18:38.126694
G0008989,Michael,Brown,todd83@example.com,USA,55-64,Norwegian,3,Gold,2026-04-05T21:18:38.127851
G0008274,Emily,Johnson,lynnorozco@example.net,UK,35-44,Norwegian,2,None,2026-04-05T21:18:38.129028
G0018287,Daniel,Moore,keith04@example.com,USA,55-64,Oceania,6,Gold,2026-04-05T21:18:38.130188
G0003252,Roger,Martinez,zdavis@example.com,Germany,55-64,Oceania,3,None,2026-04-05T21:18:38.131350
G0001070,Bryan,Suarez,erin32@example.net,Australia,45-54,Norwegian,2,None,2026-04-05T21:18:38.132475
G0004661,Joseph,Levine,nathan32@example.com,Germany,45-54,Norwegian,3,None,2026-04-05T21:18:38.133630
G0016181,Mallory,Chavez,hjohnson@example.com,USA,25-34,Norwegian,4,Platinum,2026-04-05T21:18:38.134786
G0008832,Wesley,Pearson,cheryl43@example.com,Canada,35-44,Norwegian,1,Latitudes,2026-04-05T21:18:38.135910
G0010521,Brandon,Jimenez,richardschristine@example.com,Germany,55-64,Norwegian,2,None,2026-04-05T21:18:38.137071
G0016863,Patricia,Mejia,vneal@example.com,USA,25-34,Oceania,5,Platinum,2026-04-05T21:18:38.138235
G0004294,Austin,Mason,mdodson@example.net,UK,65+,Norwegian,6,None,2026-04-05T21:18:38.139389
G0015121,Heather,Hoffman,walkeradam@example.org,USA,45-54,Norwegian,1,Latitudes,2026-04-05T21:18:38.140568
G0004474,Alexander,Crawford,nunezruth@example.com,Canada,35-44,Norwegian,2,None,2026-04-05T21:18:38.141746
G0004870,William,Wilson,zcampbell@example.net,USA,45-54,Regent,3,Latitudes,2026-04-05T21:18:38.142914
G0013461,Sandra,Wilson,nwilson@example.org,Other,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.144056
G0014428,Alexis,Saunders,ashleyferrell@example.com,UK,65+,Norwegian,5,None,2026-04-05T21:18:38.145237
G0017486,David,Perez,fsims@example.com,USA,55-64,Norwegian,4,None,2026-04-05T21:18:38.146388
G0014221,Joanna,Gilmore,kyates@example.org,USA,65+,Norwegian,3,None,2026-04-05T21:18:38.147523
G0005901,Stacy,Flores,zkelley@example.net,Germany,65+,Oceania,5,None,2026-04-05T21:18:38.148668
G0009426,Hannah,Smith,cherylpotter@example.org,USA,45-54,Norwegian,5,Gold,2026-04-05T21:18:38.149835
G0011763,Steven,Stewart,dorothy07@example.com,USA,45-54,Oceania,4,None,2026-04-05T21:18:38.150956
G0007541,Michael,Tanner,qbryant@example.org,USA,65+,Norwegian,3,None,2026-04-05T21:18:38.152101
G0002954,David,Jones,hstewart@example.com,USA,65+,Norwegian,5,Gold,2026-04-05T21:18:38.153256
G0009672,James,Taylor,twebb@example.org,USA,35-44,Norwegian,3,None,2026-04-05T21:18:38.154388
G0000457,Kendra,Golden,wrodriguez@example.net,USA,45-54,Norwegian,5,None,2026-04-05T21:18:38.155543
G0019992,Patrick,Harrison,bryan63@example.org,Australia,35-44,Norwegian,4,Platinum,2026-04-05T21:18:38.156678
G0004446,Anthony,Hawkins,raykimberly@example.com,Canada,65+,Norwegian,4,None,2026-04-05T21:18:38.157957
G0012142,Deanna,Soto,lisatravis@example.net,Other,45-54,Oceania,3,None,2026-04-05T21:18:38.159147
G0014901,Melissa,Miller,jose96@example.net,USA,45-54,Norwegian,3,None,2026-04-05T21:18:38.160199
G0019215,Paula,Mclaughlin,sharprandy@example.net,USA,55-64,Norwegian,4,Platinum,2026-04-05T21:18:38.161269
G0004319,Roy,Callahan,ramireznathan@example.net,UK,55-64,Norwegian,3,None,2026-04-05T21:18:38.162335
G0003574,Ricky,Chung,kylebrown@example.net,Germany,25-34,Norwegian,7,Latitudes,2026-04-05T21:18:38.163411
G0016066,Charles,Bailey,craigdawn@example.com,UK,55-64,Norwegian,2,Latitudes,2026-04-05T21:18:38.164510
G0019576,Amanda,Morris,tcollins@example.com,Australia,65+,Norwegian,6,Latitudes,2026-04-05T21:18:38.165603
G0010242,Cindy,Wallace,pauljackson@example.com,Canada,55-64,Norwegian,3,None,2026-04-05T21:18:38.166709
G0001966,Kristopher,Fischer,dyoder@example.net,USA,35-44,Norwegian,3,Gold,2026-04-05T21:18:38.167821
G0015801,Andrew,Davenport,thompsonjeffrey@example.com,Canada,65+,Norwegian,4,Ambassador,2026-04-05T21:18:38.168939
G0018244,Sara,King,sanfordthomas@example.com,France,45-54,Norwegian,4,None,2026-04-05T21:18:38.170059
G0001005,Jillian,Walton,emurphy@example.org,USA,45-54,Regent,6,None,2026-04-05T21:18:38.171169
G0001631,Tamara,Williams,jessica96@example.com,USA,55-64,Regent,4,Latitudes,2026-04-05T21:18:38.172267
G0019436,Diana,Adams,john10@example.org,USA,55-64,Norwegian,3,Ambassador,2026-04-05T21:18:38.173354
G0003932,Alexander,Nelson,denise29@example.net,USA,35-44,Norwegian,4,Latitudes,2026-04-05T21:18:38.174452
G0014067,Suzanne,Harper,jamesfrancis@example.net,USA,25-34,Norwegian,4,Gold,2026-04-05T21:18:38.175596
G0017170,William,Walker,tali@example.net,USA,45-54,Norwegian,6,None,2026-04-05T21:18:38.176712
G0004840,John,Davis,pamelacameron@example.com,Germany,35-44,Norwegian,4,Gold,2026-04-05T21:18:38.177865
G0018498,Bryan,Santiago,ecox@example.org,USA,55-64,Norwegian,1,None,2026-04-05T21:18:38.178968
G0010172,April,Johnson,garrett37@example.com,USA,45-54,Norwegian,9,Platinum,2026-04-05T21:18:38.180068
G0001345,Steven,Floyd,rbrown@example.org,USA,55-64,Norwegian,6,None,2026-04-05T21:18:38.181187
G0001283,Jennifer,Schmidt,rossangel@example.com,USA,45-54,Norwegian,7,None,2026-04-05T21:18:38.182329
G0010804,Kyle,Barajas,sheila03@example.com,USA,45-54,Norwegian,3,Gold,2026-04-05T21:18:38.183432
G0004226,Sara,Newton,cookwilliam@example.org,USA,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.184553
G0011198,William,Green,monicajohnson@example.org,USA,65+,Norwegian,5,Gold,2026-04-05T21:18:38.185696
G0004295,Connor,Simmons,grantbradley@example.org,USA,45-54,Oceania,3,Latitudes,2026-04-05T21:18:38.186838
G0014711,Jonathan,Kennedy,julie35@example.com,Other,55-64,Norwegian,5,Platinum,2026-04-05T21:18:38.187945
G0017284,Megan,Lee,andrea55@example.net,UK,55-64,Norwegian,4,Platinum,2026-04-05T21:18:38.189085
G0004086,Jessica,Vasquez,joseph06@example.com,UK,35-44,Oceania,5,None,2026-04-05T21:18:38.190209
G0007726,Alan,Jones,rossjames@example.org,Australia,55-64,Norwegian,2,Platinum,2026-04-05T21:18:38.191365
G0015372,Carrie,Barry,aprilmiller@example.org,USA,55-64,Norwegian,3,Latitudes,2026-04-05T21:18:38.192535
G0014979,Carrie,Davis,pricejill@example.net,USA,45-54,Norwegian,6,Latitudes,2026-04-05T21:18:38.193704
G0002806,Erin,Salinas,timothyhughes@example.com,UK,35-44,Norwegian,2,None,2026-04-05T21:18:38.194875
G0011299,Ernest,Lee,sarah39@example.com,UK,25-34,Norwegian,3,Gold,2026-04-05T21:18:38.195998
G0015681,Denise,Lopez,kfuller@example.com,UK,65+,Norwegian,6,None,2026-04-05T21:18:38.197157
G0013050,Steven,Freeman,alicehuff@example.org,USA,55-64,Norwegian,3,Gold,2026-04-05T21:18:38.198334
G0014410,Nathaniel,Wilkerson,johnlogan@example.com,France,65+,Norwegian,2,None,2026-04-05T21:18:38.199526
G0017875,Alyssa,Elliott,reyeschristina@example.org,USA,35-44,Norwegian,4,Latitudes,2026-04-05T21:18:38.200698
G0011553,Sean,Wiley,asanders@example.org,UK,35-44,Norwegian,3,Platinum,2026-04-05T21:18:38.201853
G0019909,Mark,Crane,haleydavid@example.net,UK,35-44,Norwegian,2,None,2026-04-05T21:18:38.203031
G0002520,Jacqueline,Schultz,beckdavid@example.net,Canada,55-64,Norwegian,3,Latitudes,2026-04-05T21:18:38.204200
G0008530,Brooke,Richards,peter24@example.org,USA,65+,Norwegian,4,None,2026-04-05T21:18:38.205354
G0011385,Jordan,Guerrero,george15@example.net,USA,55-64,Norwegian,5,Gold,2026-04-05T21:18:38.206490
G0000862,Kayla,Church,bethanylewis@example.com,USA,65+,Norwegian,5,Gold,2026-04-05T21:18:38.207673
G0018839,David,Gonzalez,brangel@example.net,USA,55-64,Norwegian,5,Latitudes,2026-04-05T21:18:38.208835
G0004069,Victoria,Contreras,llawrence@example.com,USA,65+,Norwegian,4,Ambassador,2026-04-05T21:18:38.209976
G0009923,Tiffany,Tran,macdonaldmichael@example.net,USA,35-44,Norwegian,4,None,2026-04-05T21:18:38.211140
G0018900,Michelle,Hall,sheila85@example.org,Australia,55-64,Norwegian,7,Gold,2026-04-05T21:18:38.212252
G0002392,Christopher,Castillo,melissa67@example.net,USA,45-54,Norwegian,2,None,2026-04-05T21:18:38.213381
G0013066,Bobby,Galvan,egaines@example.com,USA,65+,Norwegian,2,None,2026-04-05T21:18:38.214508
